hmid,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,id,text,others
27756,8589,24h,We booked our beach vacation for May of this year.,We booked our beach vacation for May of this year.,True,1,NA,leisure,1,booked beach vacation,0
27919,36,24h,I purchased a product I wanted for fifty percent off the retail price.,I purchased a product I wanted for fifty percent off the retail price.,True,1,NA,achievement,2,purchase productive fifty percent retail price,0
28010,1764,24h,Today afternoon 2.00 p.m  my husband suddenly planned for vacation tour . He booked the ticket for whole trip . I didn't expect  this from my husband .,Today afternoon 2.00 p.m  my husband suddenly planned for vacation tour . He booked the ticket for whole trip . I didn't expect  this from my husband .,True,3,NA,affection,3,afternoon pm husband suddenly planned vacation tour booked tickets trip didnt expected husband,2
28077,6227,24h,I made vacation plans with my daughter today for Florida in July.,I made vacation plans with my daughter today for Florida in July.,True,1,affection,affection,4,vacation planned daughter florida july,1
28105,5732,24h,My cat has been sick and yesterday she ate some food and scampered around the apartment.,My cat has been sick and yesterday she ate some food and scampered around the apartment.,True,1,NA,affection,5,cat sick ate food scampered apartment,2
28119,36,24h,I found something I had lost weeks before.,I found something I had lost weeks before.,True,1,achievement,achievement,6,found lost weeks,0
28641,1658,24h,A girl that I have a crush on showed up to the gym while I was working out this morning.,A girl that I have a crush on showed up to the gym while I was working out this morning.,True,1,NA,exercise,7,girl crush gym morning,1
28755,4144,24h,I went on a walk with my girlfriend,I went on a walk with my girlfriend,True,1,NA,affection,8,walk girlfriend,4
28776,1647,24h,I was able to till up my garden area.,I was able to till up my garden area.,True,1,NA,achievement,9,till garden,0
29041,4970,24h,The weather was pleasant yesterday. It was a beautiful sunny day but not too hot due to the nice breeze we had that day.,The weather was pleasant yesterday. It was a beautiful sunny day but not too hot due to the nice breeze we had that day.,True,2,NA,nature,10,weather pleasant beautiful sunny hot due nice breeze,1
29069,1818,24h,My son's teacher pulled me aside to tell me that his behavior had been excellent lately.,My son's teacher pulled me aside to tell me that his behavior had been excellent lately.,True,1,NA,affection,11,son teacher pull behavior excel,2
29261,5459,24h,I watched videos of Disney World on YouTube when I got home from work.,I watched videos of Disney World on YouTube when I got home from work.,True,1,NA,leisure,12,watched video disney world youtube home,1
29272,4139,24h,I was able to turn in the forbearance form for my student loans.,I was able to turn in the forbearance form for my student loans.,True,1,achievement,achievement,13,forbearance form student loan,0
29320,4456,24h,I got a new appartment yesterday.,I got a new apartment yesterday.,False,1,NA,achievement,14,apartment,2
